mavpackettype,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz,Type,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
IMU,51494626,0,0.0007363256881944835,0.0008024355047382414,0.0007844829233363271,9.216316223144531,-0.06490789353847504,-3.3556694984436035,0.0,0.0,28.153736114501953,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51494626,1,0.0008438865188509226,0.0008108755573630333,0.0006048731738701463,9.216663360595703,-0.06833863258361816,-3.3561596870422363,0.0,0.0,28.153736114501953,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,51514626,0,0.0007658160757273436,0.0007380649913102388,0.000746665638871491,9.216562271118164,-0.06437841802835464,-3.3562662601470947,0.0,0.0,28.154857635498047,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51514626,1,0.0008155852556228638,0.0006566033116541803,0.0006676114862784743,9.21723747253418,-0.06516115367412567,-3.3555028438568115,0.0,0.0,28.154857635498047,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,51534626,0,0.0007050306303426623,0.0007409356767311692,0.0007870273548178375,9.216719627380371,-0.06439921259880066,-3.35514497756958,0.0,0.0,28.155981063842773,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51534626,1,0.0008210783125832677,0.0007226263987831771,0.0008433357579633594,9.21728801727295,-0.0636470839381218,-3.3553578853607178,0.0,0.0,28.155981063842773,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,51554626,0,0.0007665201555937529,0.0007812983240000904,0.0007398234447464347,9.217546463012695,-0.06399394571781158,-3.355713367462158,0.0,0.0,28.1571044921875,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51554626,1,0.0007177225779742002,0.0009042898891493678,0.0008581385482102633,9.215534210205078,-0.06362154334783554,-3.357081651687622,0.0,0.0,28.1571044921875,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,51574626,0,0.0007144052651710808,0.0007495988393202424,0.0007768897921778262,9.216851234436035,-0.06445550173521042,-3.356198787689209,0.0,0.0,28.158227920532227,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51574626,1,0.0007941144867800176,0.0008675694698467851,0.0009632900473661721,9.21519660949707,-0.0654911994934082,-3.3557920455932617,0.0,0.0,28.158227920532227,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,51594626,0,0.0007141696405597031,0.0007746015908196568,0.0007878876058384776,9.217487335205078,-0.06483282148838043,-3.357020139694214,0.0,0.0,28.15934944152832,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51594626,1,0.0008455260540358722,0.0008449686574749649,0.0007430805126205087,9.215258598327637,-0.06423108279705048,-3.3540875911712646,0.0,0.0,28.15934944152832,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,51614626,0,0.000761469709686935,0.0007259814301505685,0.0007068203995004296,9.21743106842041,-0.06455998122692108,-3.3567280769348145,0.0,0.0,28.160472869873047,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51614626,1,0.0007656933157704771,0.0006224388489499688,0.0007991754682734609,9.21745491027832,-0.0655294805765152,-3.3546652793884277,0.0,0.0,28.160472869873047,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
GPS,51614626,0,,,,,,,,,,,,,,GPS,6.0,220512400.0,2412.0,10.0,1.21,-35.3632649,149.1652374,584.85,0.0020000000949949026,179.29054260253906,0.0,0.0,1.0
IMU,51634626,0,0.000754857319407165,0.0006997467135079205,0.0007833584095351398,9.216547012329102,-0.06502261757850647,-3.3562378883361816,0.0,0.0,28.16159439086914,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51634626,1,0.0007639614632353187,0.0007001598132774234,0.000743613694794476,9.218647003173828,-0.06322741508483887,-3.3535101413726807,0.0,0.0,28.16159439086914,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,51654626,0,0.0007664342992939055,0.0007982480456121266,0.0007594618946313858,9.216889381408691,-0.06423290073871613,-3.355515956878662,0.0,0.0,28.162717819213867,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51654626,1,0.0006308937445282936,0.0007655707886442542,0.0009289743611589074,9.219106674194336,-0.06566566228866577,-3.3575539588928223,0.0,0.0,28.162717819213867,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,51674626,0,0.0007008792599663138,0.0008162967278622091,0.0007984979311004281,9.21830940246582,-0.06480181962251663,-3.3556087017059326,0.0,0.0,28.163841247558594,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51674626,1,0.000814621860627085,0.0007116445922292769,0.0007886337116360664,9.21760082244873,-0.06716561317443848,-3.3562755584716797,0.0,0.0,28.163841247558594,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,51694626,0,0.0007644242723472416,0.0007285135798156261,0.0007900550263002515,9.21660041809082,-0.06529468297958374,-3.356196880340576,0.0,0.0,28.164962768554688,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51694626,1,0.0007934351451694965,0.0007850776892155409,0.0007532067247666419,9.216078758239746,-0.06608343124389648,-3.3543245792388916,0.0,0.0,28.164962768554688,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,51714626,0,0.0007238689577206969,0.0007353918626904488,0.0007677803514525294,9.216962814331055,-0.06416729092597961,-3.3562417030334473,0.0,0.0,28.166086196899414,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
